route,field,target,current,status
/,title,Prospection B2B Suisse | Leads & RDV | devlo,Prospection B2B Suisse | Leads & RDV | devlo,OK
/,description,Agence suisse de prospection B2B: génération de leads et rendez-vous qualifiés via cold email LinkedIn et téléprospection. Découvrez nos résultats.,Agence suisse de prospection B2B: génération de leads et rendez-vous qualifiés via cold email LinkedIn et téléprospection. Découvrez nos résultats.,OK
/,canonical,https://devlo.ch/,https://devlo.ch/,OK
/,ogImage,/images/devlo_OG_Banner.webp,/images/devlo_OG_Banner.webp,OK
/,status,✅ OPTIMISÉ,✅ OPTIMISÉ,OK
/academy,title,Outbound Academy | Formation prospection B2B | devlo,Outbound Academy | Formation prospection B2B | devlo,OK
/academy,description,Formation prospection B2B avec 50 tutoriels vidéo: cold email LinkedIn téléprospection et génération de leads. Méthodologie complète accès à vie.,Formation prospection B2B avec 50 tutoriels vidéo: cold email LinkedIn téléprospection et génération de leads. Méthodologie complète accès à vie.,OK
/academy,canonical,https://devlo.ch/academy,https://devlo.ch/academy,OK
/academy,ogImage,/images/devlo_OG_Banner.webp,/images/devlo_OG_Banner.webp,OK
/academy,status,✅ OPTIMISÉ,✅ OPTIMISÉ,OK
/conditions,title,Conditions générales d'utilisation | devlo,Conditions générales d'utilisation | devlo,OK
/conditions,description,Consultez les conditions générales d'utilisation de devlo.ch: licence responsabilité propriété intellectuelle et droit applicable.,Consultez les conditions générales d'utilisation de devlo.ch: licence responsabilité propriété intellectuelle et droit applicable.,OK
/conditions,canonical,https://devlo.ch/conditions,https://devlo.ch/conditions,OK
/conditions,ogImage,/images/devlo_OG_Banner.webp,/images/devlo_OG_Banner.webp,OK
/conditions,status,✅ OK,✅ OK,OK
/consultation,title,Consultation gratuite | Stratégie B2B | devlo,Consultation gratuite | Stratégie B2B | devlo,OK
/consultation,description,Obtenez votre stratégie de prospection outbound gratuite et personnalisée. Plan d'action complet sous 24h. Agence B2B suisse.,Obtenez votre stratégie de prospection outbound gratuite et personnalisée. Plan d'action complet sous 24h. Agence B2B suisse.,OK
/consultation,canonical,https://devlo.ch/consultation,https://devlo.ch/consultation,OK
/consultation,ogImage,/images/devlo_OG_Banner.webp,/images/devlo_OG_Banner.webp,OK
/consultation,status,✅ OPTIMISÉ,✅ OPTIMISÉ,OK
/etudes-de-cas,title,Études de cas | Résultats prospection B2B | devlo,Études de cas | Résultats prospection B2B | devlo,OK
/etudes-de-cas,description,Découvrez les résultats concrets de nos campagnes B2B: taux d'ouverture taux de réponse et rendez-vous qualifiés obtenus sur des cas clients réels.,Découvrez les résultats concrets de nos campagnes B2B: taux d'ouverture taux de réponse et rendez-vous qualifiés obtenus sur des cas clients réels.,OK
/etudes-de-cas,canonical,https://devlo.ch/etudes-de-cas,https://devlo.ch/etudes-de-cas,OK
/etudes-de-cas,ogImage,/images/devlo_OG_Banner.webp,/images/devlo_OG_Banner.webp,OK
