scope,route,title,description,canonical,robots,og_title,og_description,og_url,og_type,og_image,twitter_card,twitter_title,twitter_description,twitter_image,hreflang_fr,hreflang_en,hreflang_de,hreflang_nl,keywords,notes
GLOBAL,*,Template: %s | devlo,Default global metadata from root layout.,https://devlo.ch/,"index,follow",Agence de prospection commerciale B2B en Suisse,"Agence B2B en Suisse spécialisée en génération de leads et rendez-vous qualifiés. Campagnes cold email, LinkedIn et téléprospection orientées résultats.",https://devlo.ch/,website,https://devlo.ch/images/devlo_OG_Banner.webp,summary_large_image,Agence de prospection commerciale B2B en Suisse,"Agence B2B en Suisse spécialisée en génération de leads et rendez-vous qualifiés. Campagnes cold email, LinkedIn et téléprospection orientées résultats.",https://devlo.ch/images/devlo_OG_Banner.webp,https://devlo.ch/,https://devlo.ch/en,https://devlo.ch/de,https://devlo.ch/nl,,Appliqué à toutes les pages via src/app/layout.tsx
PAGE,/,Agence de prospection B2B en Suisse | Génération de leads | devlo,"Agence suisse de prospection B2B: génération de leads et rendez-vous qualifiés via cold email, LinkedIn et téléprospection. Plus de 1'000 campagnes lancées.",https://devlo.ch/,"index,follow",Agence de prospection B2B en Suisse | Génération de leads,"Agence suisse de prospection B2B: génération de leads et rendez-vous qualifiés via cold email, LinkedIn et téléprospection. Plus de 1'000 campagnes lancées.",https://devlo.ch/,website,https://devlo.ch/images/devlo_OG_Banner.webp,summary_large_image,Agence de prospection B2B en Suisse | Génération de leads,"Agence suisse de prospection B2B: génération de leads et rendez-vous qualifiés via cold email, LinkedIn et téléprospection. Plus de 1'000 campagnes lancées.",https://devlo.ch/images/devlo_OG_Banner.webp,https://devlo.ch/,https://devlo.ch/en,https://devlo.ch/de,https://devlo.ch/nl,,Homepage
PAGE,/academy,Outbound Academy | Formation prospection B2B pour SDR et BDR | devlo,"Formation prospection B2B avec 50 tutoriels vidéo: cold email, LinkedIn, téléprospection et génération de leads. Méthodologie complète, accès à vie.",https://devlo.ch/academy,"index,follow",Outbound Academy | Formation prospection B2B pour SDR et BDR,"Formation prospection B2B avec 50 tutoriels vidéo: cold email, LinkedIn, téléprospection et génération de leads. Méthodologie complète, accès à vie.",https://devlo.ch/academy,website,https://devlo.ch/images/devlo_OG_Banner.webp,summary_large_image,Outbound Academy | Formation prospection B2B pour SDR et BDR,"Formation prospection B2B avec 50 tutoriels vidéo: cold email, LinkedIn, téléprospection et génération de leads. Méthodologie complète, accès à vie.",https://devlo.ch/images/devlo_OG_Banner.webp,https://devlo.ch/academy,https://devlo.ch/en/academy,https://devlo.ch/de/academy,https://devlo.ch/nl/academy,,Page statique
PAGE,/consultation,Consultation gratuite | Stratégie de prospection B2B sur mesure | devlo,Obtenez votre stratégie de prospection outbound gratuite et personnalisée. Partagez votre ICP et recevez un plan d'action complet sous 24h. Agence B2B suisse.,https://devlo.ch/consultation,"index,follow",Consultation gratuite | Stratégie de prospection B2B sur mesure,Obtenez votre stratégie de prospection outbound gratuite et personnalisée. Partagez votre ICP et recevez un plan d'action complet sous 24h. Agence B2B suisse.,https://devlo.ch/consultation,website,https://devlo.ch/images/devlo_OG_Banner.webp,summary_large_image,Consultation gratuite | Stratégie de prospection B2B sur mesure,Obtenez votre stratégie de prospection outbound gratuite et personnalisée. Partagez votre ICP et recevez un plan d'action complet sous 24h. Agence B2B suisse.,https://devlo.ch/images/devlo_OG_Banner.webp,https://devlo.ch/consultation,https://devlo.ch/en/consultation,https://devlo.ch/de/consultation,https://devlo.ch/nl/consultation,,Page statique
PAGE,/conditions,Conditions générales d'utilisation | devlo,"Consultez les conditions générales d'utilisation de devlo.ch: licence, responsabilité, propriété intellectuelle et droit applicable.",https://devlo.ch/conditions,"index,follow",Conditions générales d'utilisation,"Consultez les conditions générales d'utilisation de devlo.ch: licence, responsabilité, propriété intellectuelle et droit applicable.",https://devlo.ch/conditions,website,https://devlo.ch/images/devlo_OG_Banner.webp,summary_large_image,Conditions générales d'utilisation,"Consultez les conditions générales d'utilisation de devlo.ch: licence, responsabilité, propriété intellectuelle et droit applicable.",https://devlo.ch/images/devlo_OG_Banner.webp,https://devlo.ch/conditions,https://devlo.ch/en/conditions,https://devlo.ch/de/conditions,https://devlo.ch/nl/conditions,,Page statique
PAGE,/etudes-de-cas,Études de cas prospection B2B | Résultats clients | devlo,"Découvrez les résultats concrets de nos campagnes B2B: taux d'ouverture, taux de réponse et rendez-vous qualifiés obtenus sur des cas clients réels.",https://devlo.ch/etudes-de-cas,"index,follow",Études de cas prospection B2B | Résultats clients,"Découvrez les résultats concrets de nos campagnes B2B: taux d'ouverture, taux de réponse et rendez-vous qualifiés obtenus sur des cas clients réels.",https://devlo.ch/etudes-de-cas,website,https://devlo.ch/images/devlo_OG_Banner.webp,summary_large_image,Études de cas prospection B2B | Résultats clients,"Découvrez les résultats concrets de nos campagnes B2B: taux d'ouverture, taux de réponse et rendez-vous qualifiés obtenus sur des cas clients réels.",https://devlo.ch/images/devlo_OG_Banner.webp,https://devlo.ch/etudes-de-cas,https://devlo.ch/en/etudes-de-cas,https://devlo.ch/de/etudes-de-cas,https://devlo.ch/nl/etudes-de-cas,,Listing études de cas
PAGE,/services,"Services de prospection B2B : cold email, LinkedIn, calling | devlo","devlo est une agence de prospection B2B basée en Suisse : génération de leads, cold email, LinkedIn outreach, cold calling, intent data et enrichissement Clay.",https://devlo.ch/services,"index,follow","Services de prospection B2B : cold email, LinkedIn, calling","devlo est une agence de prospection B2B basée en Suisse : génération de leads, cold email, LinkedIn outreach, cold calling, intent data et enrichissement Clay.",https://devlo.ch/services,website,https://devlo.ch/images/devlo_OG_Banner.webp,summary_large_image,"Services de prospection B2B : cold email, LinkedIn, calling","devlo est une agence de prospection B2B basée en Suisse : génération de leads, cold email, LinkedIn outreach, cold calling, intent data et enrichissement Clay.",https://devlo.ch/images/devlo_OG_Banner.webp,https://devlo.ch/services,https://devlo.ch/en/services,https://devlo.ch/de/services,https://devlo.ch/nl/services,services prospection B2B | agence outbound Suisse | cold email LinkedIn calling | intent data | enrichissement Clay,Hub services
PAGE,/services/outbound-multicanal,Prospection Outbound Multicanal B2B | devlo,"Agence de prospection outbound multicanal B2B basée en Suisse : cold email, LinkedIn et calling pour générer des rendez-vous qualifiés.",https://devlo.ch/services/outbound-multicanal,"index,follow",Prospection Outbound Multicanal B2B,"Agence de prospection outbound multicanal B2B basée en Suisse : cold email, LinkedIn et calling pour générer des rendez-vous qualifiés.",https://devlo.ch/services/outbound-multicanal,website,https://devlo.ch/images/devlo_OG_Banner.webp,summary_large_image,Prospection Outbound Multicanal B2B,"Agence de prospection outbound multicanal B2B basée en Suisse : cold email, LinkedIn et calling pour générer des rendez-vous qualifiés.",https://devlo.ch/images/devlo_OG_Banner.webp,https://devlo.ch/services/outbound-multicanal,https://devlo.ch/en/services/outbound-multicanal,https://devlo.ch/de/services/outbound-multicanal,https://devlo.ch/nl/services/outbound-multicanal,prospection outbound multicanal | agence outbound B2B | cold email LinkedIn calling | génération de rendez-vous B2B | externaliser prospection commerciale,Page service
PAGE,/services/cold-email,Cold Email B2B : campagnes personnalisées | devlo,"Agence cold email B2B en Suisse : séquences personnalisées, délivrabilité technique et A/B testing pour générer des rendez-vous qualifiés.",https://devlo.ch/services/cold-email,"index,follow",Cold Email B2B : campagnes personnalisées,"Agence cold email B2B en Suisse : séquences personnalisées, délivrabilité technique et A/B testing pour générer des rendez-vous qualifiés.",https://devlo.ch/services/cold-email,website,https://devlo.ch/images/devlo_OG_Banner.webp,summary_large_image,Cold Email B2B : campagnes personnalisées,"Agence cold email B2B en Suisse : séquences personnalisées, délivrabilité technique et A/B testing pour générer des rendez-vous qualifiés.",https://devlo.ch/images/devlo_OG_Banner.webp,https://devlo.ch/services/cold-email,https://devlo.ch/en/services/cold-email,https://devlo.ch/de/services/cold-email,https://devlo.ch/nl/services/cold-email,cold email B2B | agence cold email | délivrabilité email B2B | séquence email prospection | lemlist agency,Page service
PAGE,/services/linkedin-outreach,LinkedIn Outreach B2B : prospection Sales Navigator | devlo,"Agence de prospection LinkedIn B2B en Suisse : ciblage Sales Navigator, messages personnalisés et séquences multicanales.",https://devlo.ch/services/linkedin-outreach,"index,follow",LinkedIn Outreach B2B : prospection Sales Navigator,"Agence de prospection LinkedIn B2B en Suisse : ciblage Sales Navigator, messages personnalisés et séquences multicanales.",https://devlo.ch/services/linkedin-outreach,website,https://devlo.ch/images/devlo_OG_Banner.webp,summary_large_image,LinkedIn Outreach B2B : prospection Sales Navigator,"Agence de prospection LinkedIn B2B en Suisse : ciblage Sales Navigator, messages personnalisés et séquences multicanales.",https://devlo.ch/images/devlo_OG_Banner.webp,https://devlo.ch/services/linkedin-outreach,https://devlo.ch/en/services/linkedin-outreach,https://devlo.ch/de/services/linkedin-outreach,https://devlo.ch/nl/services/linkedin-outreach,linkedin outreach B2B | prospection LinkedIn | LinkedIn Sales Navigator | agence LinkedIn B2B,Page service
